event,time
avslag sirius z8,0:00:00
passning straffområde sirius z2,0:00:21
utkast hammarby,0:00:27
skott räddning hammarby z9,0:00:38
skottyp utifrån hammarby z9,0:00:44
hörna hammarby z7,0:00:48
hammarby z8 skott täckt,0:01:05
skottyp fast hammarby z8,0:01:10
rensning sirius ,0:01:13
utkast sirius z8,0:01:20
brytngin hammarby z5,0:01:28
passning lång hammarby z8,0:01:39
utkast sirius ,0:01:42
närkamp hammarby z6,0:02:09
närkamp hammarby z6,0:02:18
frislag hammarby z9,0:03:27
bolltapp passförsök hammarby z7,0:04:10
utkast sirius z8,0:04:13
närkamp hammarbt z3,0:04:42
inslag hammarby z3,0:04:46
närkamp sirius z5,0:04:53
närkamp sirius z6,0:05:06
frislag sirius z5,0:05:11
skott tckjjt sirius z2,0:05:40
skottyp utifrån sirius z2,0:05:46
boll hammarby,0:05:50
närkamp sirius z4,0:05:54
skott räddning sriius z3,0:06:08
skottyp utifrån sirius z3,0:06:12
boll hammarby,0:06:14
närkamp sirius z7,0:06:22
bolltapp passförsök sirius z4,0:06:30
utkast hammarby z2,0:06:37
brytning sriius z8,0:06:55
närkamp hammarby z2,0:07:09
passnng lång hammarby z8,0:07:46
utkast sirius z7,0:07:50
närkamp sirius z5,0:08:01
närkamp hammarbt z3,0:08:17
passning lång hammarby z8,0:08:30
utkast sirius z7,0:08:34
närkamp hammarby z6,0:08:48
skott utanför hammarby z8,0:09:01
skottyp utifrån hammarby z8,0:09:05
utkast sirius z7,0:09:08
brytning hammarby z5,0:09:39
passning straffområde hammarby z8,0:09:57
boll hammarby z7,0:10:01
passning lång hammarby ,0:10:17
brytning sirius z4,0:10:22
passning lång sirius z2,0:10:50
skott räddning sirius z2,0:10:57
skottyp friställande srisuz 2,0:11:06
skott räddnign sriisu z2,0:11:11
skottyp retur sirius z2,0:11:14
hörna sirius z3,0:11:17
skott sirisu z2,0:11:20
del,0:11:22
skott täckr sirius z2,0:11:26
skottyp fast sirius z2,0:11:31
närkamp sirius z4,0:11:35
närkamp hammarby z4,0:11:49
passnign straffområde hammarby z8,0:12:03
boll sirius ,0:12:07
hörna sirius z3,0:12:20
sirius z2 skott täckt,0:12:42
skottyp fast srius z2,0:12:45
boll sirius ,0:12:50
passnig straffområde sirus z2,0:13:29
rensning hammarby ,0:13:32
boll hammaby ,0:13:37
skott utanför hammarby z7,0:13:45
skottyp utifrån hammarby z7,0:13:49
utkast siirus ,0:13:51
närkamp hammarby z3,0:14:21
närkamp sirius z8,0:14:33
brytning hammarby z6,0:14:57
skott täckt hammarby z8,0:15:07
skottyp utifrån hammarby z8,0:15:13
hörna hammarby z9,0:15:19
hammarby z8 skott täckt ,0:15:33
skottyp hammarby fast z8,0:15:38
boll sirius ,0:15:46
närkamp hammarby z5,0:15:50
passning straffområde hammarby z7,0:16:26
närkamp sirius z9,0:16:32
frislag sirius z9,0:16:35
passning straffområde sirius z3,0:17:16
boll hammarby z1,0:17:21
passning lång hammarby z5,0:17:29
brytning sirus z5,0:17:35
passning straffområde sirius z2,0:17:41
skott täckt sirius z2,0:17:46
skottyp sirius inlägg sirius z2,0:17:52
hörna sirius z3,0:17:54
sirius z2 skott räddning ,0:18:07
skottyp sirius z2 fast,0:18:12
boll sirius ,0:18:15
bolltapp sirius passförösk z4,0:18:30
passning straffområde hammarby z8,0:18:39
brytning sirius z8,0:18:42
passning lång sirius z2,0:19:08
offside sirius z3,0:19:14
passning lång hammarby z8,0:19:29
skott utanför hammarby z8,0:19:33
skottyp utifrån hammarby z8,0:19:37
utkast siirus ,0:19:39
närkamp hammarby z3,0:20:54
frislag hammarby z3,0:20:57
del,0:21:07
timeout ,0:21:08
hammarby frislag z6,0:21:48
bolltapp hammarby z9 passförsök,0:22:10
dek,0:22:18
del,0:22:21
inslag hammarby z9,0:22:27
inslag sirius z7,0:22:34
skott utanför sirius z2,0:22:59
skottyp utifrån sirius z2,0:23:04
utkast hhammarby,0:23:07
bryting siirus z8,0:24:10
utkast sirius ,0:24:17
närkamp hammarby z6,0:25:00
passning lång hammarby z8,0:25:39
skott utanför hammarby z8,0:25:43
skottyp utifrån hammarby z8,0:25:47
utkast sirius ,0:25:49
passning lång sirius z2,0:26:16
närkamp hammarby z2,0:26:21
passning lång hammarby z8,0:26:31
offside hammarby z8,0:26:34
boll sirius ,0:26:39
timeout sirius,0:26:46
boll sirius z8,0:28:32
passning straffområde sirius z2,0:28:56
utkast hammarby z6,0:29:01
brytning sirius z5,0:29:10
frislag hammarby z5,0:29:18
nrkamp sirius z5,0:29:27
passning straffområde sirius z2,0:29:50
boll sirius z3,0:29:52
offside sirius z3,0:30:10
boll hammarby,0:30:14
närkamp sirius z5,0:30:26
hörna sirius z1,0:30:39
sirius z2 skott utanflr,0:31:05
skottyp fast sirius z2,0:31:10
timeout,0:31:12
utkast hammarby ,0:31:32
närkamp sirius z6,0:31:42
frislag sirius z6,0:31:46
närkamp hammarby z2,0:32:35
närkamp sirius z1,0:32:37
närkamp hammarby z5,0:33:11
skott utanför hammarby z8,0:33:20
skottyp utifrån hammarby z8,0:33:24
utkast sirius z9,0:33:27
bolltapp sirius z5 tappad,0:33:37
frislag sirius z5,0:33:41
passning lång sirius z2,0:33:57
utkast hammarby,0:33:59
närkamp hammarby z5,0:34:10
närkamp sirisu z8,0:34:17
passning straffområde sirius z2,0:34:31
måk sirius straffområde z2,0:34:40
skottyp inlägg sirius z2,0:34:44
avslag hammarby ,0:34:51
skott utanför hammarbt z7,0:35:14
skottyp utifrån hammarby ,0:35:17
utkast isrius ,0:35:19
närkamp hammarby z5,0:35:23
närkamp hammarby z4,0:35:27
närkamp sirisu z8,0:35:32
närkamp hammarby z5,0:36:00
närkamp sirius z5,0:36:03
brutong hammarby z2,0:36:18
närkamo sirius z5,0:36:23
ärkamp hammarby z5,0:36:27
offside hammarby z8,0:36:30
boll sirius z8,0:36:33
passnign staffområde sirius z2,0:36:46
boll sirius z3,0:36:53
frislag sirius z5,0:37:04
utvisning hammarby 10,0:37:24
boll sirius z5,0:37:28
skott utanför sirius z3,0:38:04
skottyp utifrån sirius z3,0:38:08
utkast hammarby ,0:38:11
utkast sirius z9,0:38:24
passning straffområde siirus z3,0:38:53
närkamp hammarby z2,0:38:57
brytning sirius z4,0:39:05
närkamp sirius z6,0:39:43
skott utanför sirius z2,0:39:57
skottyp utifrån sirius z2,0:40:01
utkast hammarby ,0:40:04
oassning straffområde z7 hammarby,0:40:18
hörna hammarby z9,0:40:22
hammarby z8 skott täckt,0:40:41
skottyp fast hammarby z8,0:40:45
utkast sirius z,0:40:49
inslag sirius z1,0:41:01
passnign straffomrpde sirisu z1,0:41:10
brytning hammarby z2,0:41:14
passning lång hammarby z7,0:41:19
brytning srisu z7,0:41:28
skott tanför sirisu z2,0:41:41
skottyp utifrån sirius z2,0:41:45
utkast hammarny ,0:41:49
nrkamp sirius z5,0:41:52
passning sirius z2 straffområde ,0:42:02
hammabrny närjamo z2,0:42:06
frislag hammarby z6,0:42:26
brytning sirius z5,0:42:43
inslag sirius z6,0:42:55
skott täckt sirius z2,0:43:15
skottyp centralt sirius z2,0:43:22
hörna sirisu z1,0:43:23
sirius z2 skott utanför ,0:43:42
skottyp fast sirius z2,0:43:46
utkast hammarby ,0:43:50
utkast sirius ,0:43:52
passning lång sirius z2,0:44:07
skott räddnign sirius z2,0:44:11
skottyp inlägg sriius z2,0:44:18
utkast hammarby ,0:44:21
närkamp irius z8,0:44:24
hörna sirius z3,0:44:46
sirius z2 skott täckt,0:45:13
skottyp sirius z2 fast,0:45:18
rensing hammarby,0:45:23
skott räddning sirius z2,0:45:36
skottyp utifrån sirius z2,0:45:40
utkast hammarby ,0:45:42
utkast sirius z7,0:45:46
närkamp hammarby z6,0:45:58
mål hammarby z8 lång,0:46:14
skottyp utifrån hammarby z8,0:46:21
avslag sirius ,0:46:35
närkamp hammarby z5,0:46:52
närkamp sirius z1,0:46:57
närkamp hammarby z2,0:47:08
passnign straffområde hammarby z9,0:47:24
skott täckt hammarby z8,0:47:31
skottyp utifrån hammarby z8,0:47:38
stop,0:47:43
